expat_id,origin_country,visa_type,us_state,switched_from,previous_monthly_premium,ratha_monthly_premium,premium_savings_percent,coverage_types,india_coverage_enabled,onboarding_days,competitor_onboarding_days,switched_date,satisfaction_score,monthly_retention_rate
EXP752101,India,B1,CO,HDFC ERGO,108.0,77.02,28.7,Auto+Health,True,2,14,2026-06-11 12:14:15.481360,7,99.0
EXP780796,India,B1,WA,Allianz,96.02,73.62,23.3,Renter,True,2,11,2026-08-03 12:14:15.481376,8,97.8
EXP267268,India,H1B,WA,AIG,107.77,81.23,24.6,Auto+Health,True,1,8,2026-05-28 12:14:15.481393,10,98.9
EXP623421,India,H1B,PA,HDFC ERGO,131.17,100.65,23.3,Auto+Health,True,1,7,2026-07-29 12:14:15.481410,7,97.9
EXP231812,India,H1B,TX,AIG,111.91,77.27,31.0,Renter,True,2,12,2026-06-29 12:14:15.481427,10,98.0
EXP325663,India,E2,FL,HDFC ERGO,112.94,85.44,24.3,Health,True,1,13,2026-06-24 12:14:15.481443,10,99.3
EXP395203,India,H1B,TX,Allianz,83.47,59.47,28.7,Auto,True,2,10,2026-08-03 12:14:15.481458,9,97.9
EXP727478,India,H1B,TX,Allianz,90.11,67.34,25.3,Auto+Health,True,2,13,2026-06-19 12:14:15.481473,7,97.0
EXP549485,India,L1,MA,AIG,106.28,76.74,27.8,Renter,True,1,14,2026-07-29 12:14:15.481488,9,98.7
EXP285520,India,F1,PA,CHUBB,130.47,95.06,27.1,Renter,True,3,7,2026-06-18 12:14:15.481503,7,98.5
EXP645881,India,F1,MI,HDFC ERGO,147.97,98.18,33.6,Renter,True,2,9,2026-06-01 12:14:15.481518,9,98.1
EXP835448,India,H1B,TX,HDFC ERGO,137.19,106.86,22.1,Auto,False,3,11,2026-07-03 12:14:15.481532,7,97.0
EXP583879,India,L1,NY,AIG,118.41,87.63,26.0,Renter,True,1,12,2026-05-27 12:14:15.481547,8,99.5
EXP338197,India,E2,IL,CHUBB,77.06,50.65,34.3,Auto+Health,True,3,7,2026-08-20 12:14:15.481562,9,99.3
EXP401668,India,B1,NY,CHUBB,86.41,67.08,22.4,Renter,True,3,13,2026-08-19 12:14:15.481576,10,98.8
EXP656051,India,B1,GA,IMG Global,118.74,80.41,32.3,Renter,True,3,11,2026-06-23 12:14:15.481591,9,99.5
EXP504827,India,E2,CO,Allianz,76.17,56.88,25.3,Health,False,1,10,2026-05-30 12:14:15.481605,9,99.3
EXP610909,India,B1,NC,ICICI Lombard,104.44,72.25,30.8,Auto+Health,True,3,7,2026-08-07 12:14:15.481620,7,98.5
EXP125633,India,B1,TX,CHUBB,127.13,90.94,28.5,Auto+Health,True,3,13,2026-05-30 12:14:15.481634,9,99.3
EXP146636,India,F1,IL,IMG Global,134.27,96.64,28.0,Auto+Health,True,1,7,2026-07-09 12:14:15.481649,9,98.4
EXP156289,India,F1,NY,Allianz,93.83,61.54,34.4,Renter,True,2,12,2026-08-01 12:14:15.481664,7,98.5
EXP999214,India,H1B,PA,Allianz,116.03,87.45,24.6,Health,True,2,9,2026-06-26 12:14:15.481679,8,97.3
EXP504994,India,L1,FL,CHUBB,146.35,98.81,32.5,Health,True,3,13,2026-06-14 12:14:15.481693,8,98.7
EXP344558,India,H1B,GA,HDFC ERGO,130.6,103.37,20.8,Health,False,1,14,2026-07-23 12:14:15.481709,8,98.4
EXP572272,India,H1B,MI,Allianz,87.07,64.55,25.9,Health,True,2,14,2026-06-10 12:14:15.481725,10,97.5
EXP227043,India,L1,FL,HDFC ERGO,145.77,96.98,33.5,Auto+Health,False,1,11,2026-05-26 12:14:15.481741,8,98.0
EXP236605,India,B1,TX,ICICI Lombard,89.43,60.73,32.1,Auto,True,3,10,2026-07-29 12:14:15.481756,10,98.1
EXP103617,India,L1,MA,Allianz,141.49,108.57,23.3,Auto,True,3,13,2026-08-21 12:14:15.481771,10,97.0
EXP660306,India,F1,PA,Allianz,105.65,81.5,22.9,Renter,True,2,12,2026-05-28 12:14:15.481786,9,97.4
EXP864050,India,L1,TX,CHUBB,81.38,55.57,31.7,Health,True,1,12,2026-08-09 12:14:15.481801,7,97.8
EXP128889,India,E2,PA,IMG Global,121.19,88.82,26.7,Auto,True,1,14,2026-06-29 12:14:15.481815,8,98.8
EXP380944,India,B1,MI,AIG,109.02,81.89,24.9,Auto+Health,True,3,12,2026-06-06 12:14:15.481830,9,98.5
EXP781091,India,H1B,IL,CHUBB,138.65,99.99,27.9,Health,True,2,7,2026-07-31 12:14:15.481844,7,99.2
EXP868607,India,H1B,NY,ICICI Lombard,137.78,105.9,23.1,Health,True,1,12,2026-06-04 12:14:15.481859,9,99.2
EXP409085,India,E2,MA,ICICI Lombard,148.72,96.86,34.9,Auto,True,2,9,2026-06-26 12:14:15.481873,8,98.8
EXP605274,India,B1,MA,Allianz,129.33,90.7,29.9,Health,False,1,10,2026-07-15 12:14:15.481888,7,99.0
EXP634110,India,B1,CA,AIG,78.56,60.24,23.3,Health,True,1,10,2026-08-22 12:14:15.481902,9,97.4
EXP302383,India,B1,IL,ICICI Lombard,145.72,97.32,33.2,Auto+Health,False,2,10,2026-06-21 12:14:15.481917,7,98.5
EXP818415,India,E2,MA,CHUBB,108.15,85.45,21.0,Auto+Health,True,1,10,2026-08-16 12:14:15.481931,10,97.8
EXP115330,India,L1,TX,HDFC ERGO,78.77,59.31,24.7,Health,False,2,14,2026-07-24 12:14:15.481948,10,97.5
EXP304099,India,F1,IL,HDFC ERGO,144.65,104.66,27.6,Renter,True,3,13,2026-06-17 12:14:15.481962,9,98.9
EXP794242,India,B1,PA,HDFC ERGO,149.68,118.88,20.6,Auto+Health,True,2,8,2026-07-14 12:14:15.481977,10,99.1
EXP175678,India,H1B,IL,CHUBB,92.26,61.45,33.4,Auto+Health,True,2,10,2026-07-14 12:14:15.481991,10,98.4
EXP902009,India,L1,CA,CHUBB,93.25,69.67,25.3,Renter,True,1,13,2026-07-24 12:14:15.482005,7,97.6
EXP530410,India,L1,MA,AIG,92.84,62.75,32.4,Renter,False,1,9,2026-08-20 12:14:15.482020,7,99.3
EXP266340,India,B1,NC,IMG Global,92.93,73.32,21.1,Auto+Health,True,1,12,2026-06-04 12:14:15.482034,10,97.9
EXP672991,India,L1,NC,ICICI Lombard,89.01,68.07,23.5,Renter,False,2,14,2026-07-21 12:14:15.482049,7,99.0
EXP483116,India,H1B,TX,CHUBB,108.78,86.56,20.4,Auto+Health,False,2,11,2026-06-04 12:14:15.482063,8,98.4
EXP842176,India,H1B,NY,IMG Global,115.7,78.68,32.0,Auto+Health,False,2,10,2026-05-28 12:14:15.482078,7,97.8
EXP873504,India,E2,NY,CHUBB,79.64,58.45,26.6,Health,True,3,10,2026-07-09 12:14:15.482093,7,99.3
EXP949679,India,H1B,MA,CHUBB,90.87,68.3,24.8,Auto+Health,False,1,11,2026-06-27 12:14:15.482108,7,97.4
EXP136388,India,H1B,MA,ICICI Lombard,124.15,97.59,21.4,Auto,True,2,14,2026-07-19 12:14:15.482122,9,97.4
EXP976129,India,F1,MA,Allianz,92.55,71.13,23.1,Renter,True,2,7,2026-06-23 12:14:15.482137,8,98.0
EXP568478,India,L1,WA,ICICI Lombard,137.51,89.93,34.6,Health,True,2,9,2026-06-15 12:14:15.482151,9,98.1
EXP792368,India,F1,PA,HDFC ERGO,148.33,98.67,33.5,Renter,True,3,10,2026-08-02 12:14:15.482166,9,99.0
EXP615329,India,E2,NY,CHUBB,101.73,70.81,30.4,Health,True,3,12,2026-06-25 12:14:15.482181,9,98.1
EXP139514,India,B1,CA,HDFC ERGO,141.49,104.73,26.0,Auto+Health,True,2,8,2026-05-26 12:14:15.482195,8,98.2
EXP487571,India,F1,FL,ICICI Lombard,91.28,70.42,22.9,Auto+Health,False,1,10,2026-08-12 12:14:15.482210,8,98.7
EXP389094,India,H1B,CO,IMG Global,89.86,61.07,32.0,Auto+Health,False,3,13,2026-07-25 12:14:15.482224,10,99.1
EXP787526,India,B1,MI,IMG Global,129.39,101.72,21.4,Auto,True,3,14,2026-06-06 12:14:15.482238,9,97.9
EXP388175,India,L1,MI,IMG Global,123.5,82.27,33.4,Auto+Health,False,3,7,2026-05-26 12:14:15.482252,8,97.5
EXP997046,India,B1,MA,AIG,110.76,81.55,26.4,Auto+Health,False,2,9,2026-07-16 12:14:15.482267,10,97.6
EXP779148,India,B1,GA,IMG Global,95.68,64.81,32.3,Auto+Health,True,1,7,2026-07-04 12:14:15.482283,7,99.3
EXP908477,India,H1B,TX,CHUBB,82.96,61.08,26.4,Auto+Health,False,1,8,2026-08-23 12:14:15.482298,10,97.2
EXP336154,India,B1,IL,Allianz,101.57,68.31,32.7,Auto+Health,True,3,9,2026-07-14 12:14:15.482313,8,97.9
EXP827404,India,E2,TX,ICICI Lombard,126.92,99.36,21.7,Auto,True,3,9,2026-05-25 12:14:15.482328,10,99.0
EXP322557,India,F1,WA,CHUBB,79.54,52.59,33.9,Health,False,3,11,2026-07-28 12:14:15.482342,8,98.6
EXP802719,India,H1B,FL,Allianz,135.25,104.71,22.6,Renter,True,1,13,2026-07-18 12:14:15.482357,10,97.1
EXP140061,India,L1,CA,Allianz,78.72,58.69,25.4,Renter,True,1,13,2026-07-29 12:14:15.482371,8,97.9
EXP543470,India,E2,WA,HDFC ERGO,146.68,112.83,23.1,Auto,False,2,13,2026-06-29 12:14:15.482385,10,98.4
EXP139714,India,E2,NY,AIG,124.15,87.81,29.3,Renter,True,1,13,2026-06-09 12:14:15.482400,10,98.8
EXP605518,India,H1B,CO,ICICI Lombard,138.34,94.03,32.0,Health,True,2,7,2026-06-05 12:14:15.482414,7,97.5
EXP646743,India,H1B,NC,CHUBB,131.81,86.63,34.3,Health,False,1,14,2026-07-01 12:14:15.482429,7,99.3
EXP580488,India,F1,NY,ICICI Lombard,100.88,73.24,27.4,Health,True,3,7,2026-06-15 12:14:15.482443,10,98.7
EXP230956,India,E2,WA,AIG,116.22,87.9,24.4,Health,False,2,8,2026-07-31 12:14:15.482458,9,98.2
EXP678607,India,H1B,PA,ICICI Lombard,148.56,98.61,33.6,Auto+Health,False,2,12,2026-08-18 12:14:15.482472,7,98.8
EXP678154,India,B1,MA,CHUBB,88.71,61.72,30.4,Auto+Health,False,1,7,2026-07-30 12:14:15.482486,9,99.0
EXP880977,India,E2,NC,HDFC ERGO,117.94,83.28,29.4,Health,False,1,14,2026-06-07 12:14:15.482501,7,98.8
EXP121827,India,B1,MA,Allianz,84.25,60.78,27.9,Renter,True,1,7,2026-06-29 12:14:15.482516,7,99.2
EXP436680,India,L1,CO,Allianz,125.96,95.76,24.0,Auto,True,3,12,2026-06-21 12:14:15.482531,8,97.5
EXP675507,India,F1,IL,Allianz,85.85,61.94,27.8,Health,True,2,8,2026-08-20 12:14:15.482546,10,97.8
EXP833790,India,B1,CA,HDFC ERGO,93.53,65.94,29.5,Auto,True,3,10,2026-07-06 12:14:15.482561,7,97.7
EXP219929,India,L1,MA,CHUBB,130.43,99.02,24.1,Auto+Health,False,1,8,2026-05-29 12:14:15.482575,10,99.0
EXP108751,India,L1,GA,AIG,148.87,97.92,34.2,Renter,False,3,11,2026-08-03 12:14:15.482589,9,97.9
EXP463308,India,B1,PA,IMG Global,130.41,98.61,24.4,Auto,False,3,11,2026-06-28 12:14:15.482604,9,97.3
EXP682604,India,F1,FL,HDFC ERGO,146.12,113.55,22.3,Auto+Health,True,1,12,2026-06-07 12:14:15.482618,7,98.4
EXP619402,India,B1,IL,ICICI Lombard,106.22,70.49,33.6,Renter,True,1,7,2026-06-10 12:14:15.482632,9,97.2
EXP104196,India,E2,CA,HDFC ERGO,122.86,94.55,23.0,Renter,False,2,7,2026-07-24 12:14:15.482647,10,97.4
EXP641812,India,B1,CO,HDFC ERGO,117.32,84.79,27.7,Renter,True,2,9,2026-07-21 12:14:15.482661,7,97.0
EXP137241,India,B1,FL,CHUBB,77.42,50.34,35.0,Health,True,1,13,2026-07-26 12:14:15.482676,9,97.8
EXP794094,India,L1,GA,Allianz,135.22,105.36,22.1,Auto,False,3,8,2026-08-02 12:14:15.482690,10,98.9
EXP424617,India,E2,FL,HDFC ERGO,94.09,66.52,29.3,Auto,True,2,12,2026-07-24 12:14:15.482705,7,98.8
EXP387040,India,F1,NC,AIG,86.31,62.95,27.1,Renter,True,1,13,2026-06-27 12:14:15.482720,7,99.2
EXP260820,India,B1,TX,IMG Global,77.21,53.17,31.1,Auto,True,1,8,2026-05-25 12:14:15.482734,7,97.3
EXP113712,India,B1,NC,IMG Global,140.99,101.51,28.0,Auto+Health,True,2,11,2026-07-11 12:14:15.482749,8,97.3
EXP347151,India,F1,MI,Allianz,124.5,95.88,23.0,Auto,True,2,9,2026-06-02 12:14:15.482763,9,98.6
EXP782526,India,H1B,NY,HDFC ERGO,75.48,57.5,23.8,Auto,True,3,7,2026-07-12 12:14:15.482777,9,98.9
EXP762642,India,E2,CA,CHUBB,120.07,90.36,24.7,Auto,True,1,10,2026-08-03 12:14:15.482791,9,98.2
EXP174942,India,H1B,GA,AIG,83.38,55.02,34.0,Auto+Health,True,2,11,2026-08-22 12:14:15.482806,7,97.2
EXP294829,India,F1,MA,HDFC ERGO,94.85,72.43,23.6,Auto+Health,True,3,10,2026-05-31 12:14:15.482820,10,98.7
EXP637949,India,L1,WA,CHUBB,96.31,71.34,25.9,Auto,True,1,10,2026-08-22 12:14:15.482834,10,97.5
EXP933878,India,B1,NY,CHUBB,94.3,68.58,27.3,Auto,False,3,9,2026-07-24 12:14:15.482849,7,98.4
EXP213053,India,H1B,IL,HDFC ERGO,99.45,70.59,29.0,Renter,True,3,10,2026-05-25 12:14:15.482863,9,97.8
EXP611571,India,E2,NC,AIG,124.34,95.57,23.1,Auto,False,3,11,2026-08-07 12:14:15.482878,9,99.4
EXP637323,India,F1,IL,CHUBB,85.88,56.76,33.9,Auto+Health,True,1,14,2026-08-02 12:14:15.482892,10,97.8
EXP112208,India,E2,CO,IMG Global,136.95,89.53,34.6,Renter,True,2,11,2026-07-06 12:14:15.482906,7,99.0
EXP339906,India,L1,FL,HDFC ERGO,142.75,101.2,29.1,Health,True,3,11,2026-08-01 12:14:15.482921,8,99.4
EXP808374,India,H1B,NC,Allianz,143.23,103.44,27.8,Health,True,2,11,2026-08-19 12:14:15.482935,9,98.9
EXP125018,India,L1,GA,Allianz,129.31,88.48,31.6,Auto,False,1,9,2026-06-17 12:14:15.482950,10,97.9
EXP418761,India,E2,NY,CHUBB,106.16,71.65,32.5,Auto+Health,True,3,12,2026-07-09 12:14:15.482964,10,98.5
EXP175922,India,F1,NC,AIG,102.84,71.43,30.5,Auto,True,3,10,2026-07-30 12:14:15.482979,9,97.6
EXP121407,India,B1,WA,CHUBB,143.82,107.53,25.2,Auto,True,2,9,2026-06-01 12:14:15.482993,10,98.5
EXP492721,India,F1,CO,Allianz,117.26,76.98,34.4,Health,False,3,9,2026-08-11 12:14:15.483007,9,99.0
EXP253080,India,H1B,MA,CHUBB,149.13,100.33,32.7,Auto+Health,True,2,13,2026-06-08 12:14:15.483022,10,97.8
EXP907476,India,E2,NC,HDFC ERGO,104.41,70.77,32.2,Auto+Health,True,2,10,2026-08-14 12:14:15.483036,9,98.8
EXP714008,India,L1,CO,AIG,123.06,97.25,21.0,Health,True,3,14,2026-06-08 12:14:15.483050,8,97.8
EXP333261,India,H1B,TX,AIG,81.82,60.05,26.6,Auto,True,3,11,2026-07-02 12:14:15.483064,10,97.6
EXP517208,India,L1,NY,HDFC ERGO,111.65,74.6,33.2,Health,True,2,7,2026-08-05 12:14:15.483079,9,99.2
EXP885243,India,F1,CO,CHUBB,146.69,98.96,32.5,Auto+Health,True,3,10,2026-07-25 12:14:15.483093,8,97.8
EXP525530,India,L1,MI,AIG,125.79,84.91,32.5,Renter,True,3,11,2026-07-24 12:14:15.483109,8,97.3
EXP138057,India,F1,CA,IMG Global,138.32,108.94,21.2,Auto,True,3,8,2026-06-22 12:14:15.483123,8,97.7
EXP704072,India,E2,MA,Allianz,147.94,106.97,27.7,Auto,False,3,10,2026-08-07 12:14:15.483137,7,98.4
EXP932999,India,L1,GA,IMG Global,131.05,94.29,28.0,Auto+Health,True,3,7,2026-05-31 12:14:15.483152,10,98.8
EXP753528,India,H1B,MA,CHUBB,79.84,59.19,25.9,Auto,False,3,9,2026-08-02 12:14:15.483166,7,97.3
EXP662957,India,E2,GA,IMG Global,133.68,89.83,32.8,Renter,True,3,9,2026-07-31 12:14:15.483180,8,98.0
EXP319106,India,F1,NC,HDFC ERGO,89.96,66.09,26.5,Auto+Health,True,3,7,2026-07-26 12:14:15.483195,10,98.0
EXP270758,India,B1,PA,AIG,94.42,64.29,31.9,Auto+Health,False,2,12,2026-06-23 12:14:15.483209,10,98.8
EXP110631,India,E2,WA,IMG Global,148.73,106.23,28.6,Renter,False,1,8,2026-07-19 12:14:15.483223,8,98.3
EXP649380,India,E2,IL,AIG,105.72,68.81,34.9,Renter,True,2,14,2026-05-29 12:14:15.483237,8,99.4
EXP410133,India,E2,PA,CHUBB,105.97,73.91,30.3,Auto,False,2,12,2026-06-05 12:14:15.483252,7,98.6
EXP900063,India,B1,IL,Allianz,116.15,80.06,31.1,Health,False,2,11,2026-06-19 12:14:15.483266,9,99.4
EXP977140,India,E2,PA,AIG,114.85,88.07,23.3,Renter,False,3,14,2026-07-14 12:14:15.483281,10,99.0
EXP195696,India,B1,IL,IMG Global,103.13,80.84,21.6,Auto+Health,True,3,11,2026-07-22 12:14:15.483295,7,97.9
EXP348463,India,F1,NC,ICICI Lombard,95.24,66.92,29.7,Auto+Health,True,2,11,2026-08-18 12:14:15.483309,8,98.8
EXP509473,India,L1,GA,ICICI Lombard,98.56,64.94,34.1,Auto+Health,True,3,11,2026-08-20 12:14:15.483323,8,98.3
EXP888618,India,E2,FL,CHUBB,136.88,100.67,26.5,Renter,True,1,8,2026-05-29 12:14:15.483338,8,97.8
EXP368619,India,L1,PA,HDFC ERGO,133.17,99.22,25.5,Auto+Health,True,1,12,2026-06-25 12:14:15.483352,7,98.3
EXP810872,India,E2,FL,IMG Global,89.23,67.93,23.9,Health,True,3,8,2026-08-21 12:14:15.483366,9,99.1
EXP762118,India,F1,NY,CHUBB,136.66,98.71,27.8,Health,True,2,11,2026-06-18 12:14:15.483380,8,98.0
EXP402120,India,H1B,NY,AIG,90.39,64.34,28.8,Auto+Health,True,3,7,2026-08-10 12:14:15.483395,7,97.4
EXP702925,India,L1,WA,CHUBB,107.44,78.91,26.6,Auto,True,3,8,2026-07-27 12:14:15.483409,10,97.9
EXP169692,India,L1,CO,ICICI Lombard,122.55,89.28,27.1,Health,True,3,13,2026-07-07 12:14:15.483423,8,98.6
EXP118864,India,F1,MI,CHUBB,104.81,83.51,20.3,Health,True,2,8,2026-07-04 12:14:15.483437,8,97.7
EXP180819,India,E2,CO,HDFC ERGO,130.1,101.65,21.9,Health,True,3,10,2026-07-27 12:14:15.483452,9,97.9
EXP333118,India,L1,IL,HDFC ERGO,147.22,105.65,28.2,Auto,True,2,9,2026-06-18 12:14:15.483466,8,99.5
EXP439458,India,H1B,MA,ICICI Lombard,131.15,94.23,28.2,Renter,True,1,11,2026-07-06 12:14:15.483481,9,99.3
EXP360103,India,B1,CA,HDFC ERGO,89.63,70.83,21.0,Health,True,2,8,2026-07-11 12:14:15.483495,8,99.0
EXP429091,India,H1B,MI,Allianz,118.38,77.99,34.1,Auto,False,2,10,2026-08-09 12:14:15.483510,10,98.3
EXP446137,India,E2,MA,IMG Global,124.74,93.76,24.8,Renter,True,2,10,2026-08-15 12:14:15.483524,7,98.3
EXP681166,India,E2,FL,ICICI Lombard,143.83,95.05,33.9,Health,False,2,10,2026-08-07 12:14:15.483539,10,98.8
EXP937276,India,L1,FL,HDFC ERGO,91.37,67.95,25.6,Auto,True,1,11,2026-08-04 12:14:15.483553,9,98.6
EXP440985,India,B1,IL,ICICI Lombard,85.85,63.79,25.7,Renter,False,1,11,2026-07-18 12:14:15.483567,10,97.5
EXP111693,India,E2,PA,CHUBB,129.64,95.31,26.5,Auto,True,1,9,2026-08-12 12:14:15.483582,7,97.9
EXP422513,India,F1,MA,Allianz,119.99,80.27,33.1,Auto+Health,True,2,11,2026-08-09 12:14:15.483596,9,98.3
EXP686053,India,B1,NC,HDFC ERGO,112.03,88.09,21.4,Auto,False,1,7,2026-08-15 12:14:15.483611,10,99.2
EXP246573,India,F1,CO,HDFC ERGO,136.58,88.96,34.9,Health,True,1,12,2026-07-04 12:14:15.483625,10,97.4
EXP712111,India,F1,IL,AIG,128.76,90.17,30.0,Health,False,1,13,2026-08-21 12:14:15.483640,9,98.2
EXP507993,India,L1,NC,HDFC ERGO,112.78,76.5,32.2,Auto,True,3,8,2026-07-18 12:14:15.483654,10,98.8
EXP873982,India,H1B,NC,HDFC ERGO,98.8,74.39,24.7,Renter,True,3,11,2026-06-06 12:14:15.483668,7,97.9
EXP340794,India,L1,PA,CHUBB,81.59,64.05,21.5,Auto+Health,True,2,8,2026-06-16 12:14:15.483687,8,97.4
EXP899857,India,L1,GA,AIG,88.74,61.21,31.0,Auto+Health,True,1,13,2026-06-09 12:14:15.483701,7,98.7
EXP178969,India,H1B,PA,Allianz,122.66,88.3,28.0,Health,True,2,10,2026-08-19 12:14:15.483715,8,99.0
EXP904295,India,L1,IL,HDFC ERGO,122.24,88.34,27.7,Renter,True,3,7,2026-06-07 12:14:15.483729,10,98.4
EXP608385,India,L1,NC,IMG Global,113.78,85.86,24.5,Auto+Health,True,2,8,2026-08-03 12:14:15.483744,9,97.0
EXP694209,India,F1,NC,ICICI Lombard,90.25,66.34,26.5,Auto+Health,True,3,8,2026-06-20 12:14:15.483758,9,98.0
EXP266578,India,L1,NC,IMG Global,111.9,74.7,33.2,Health,True,2,7,2026-07-11 12:14:15.483772,8,98.4
EXP218084,India,B1,GA,HDFC ERGO,114.58,79.94,30.2,Renter,True,2,7,2026-08-08 12:14:15.483786,7,98.6
EXP438144,India,H1B,MI,IMG Global,137.28,101.76,25.9,Auto+Health,True,3,10,2026-08-16 12:14:15.483800,9,99.2
EXP108028,India,H1B,WA,AIG,124.7,87.99,29.4,Auto,True,1,11,2026-07-13 12:14:15.483815,9,97.0
EXP659507,India,H1B,WA,HDFC ERGO,129.68,95.85,26.1,Auto,True,2,9,2026-06-03 12:14:15.483830,10,97.3
EXP180111,India,E2,MA,AIG,100.5,69.93,30.4,Renter,False,1,8,2026-07-06 12:14:15.483845,7,97.4
EXP826724,India,F1,MI,AIG,146.39,106.27,27.4,Renter,True,1,7,2026-06-02 12:14:15.483859,10,97.1
EXP526706,India,F1,NC,HDFC ERGO,142.6,102.03,28.4,Auto,False,3,9,2026-07-01 12:14:15.483874,8,97.8
EXP721394,India,L1,CA,CHUBB,86.9,57.1,34.3,Health,True,1,7,2026-06-30 12:14:15.483889,7,97.5
EXP860053,India,L1,CO,Allianz,91.88,70.34,23.4,Renter,True,1,10,2026-07-05 12:14:15.483903,9,99.1
EXP712589,India,L1,WA,AIG,78.55,59.85,23.8,Renter,True,2,10,2026-06-17 12:14:15.483918,7,97.5
EXP235253,India,E2,MA,ICICI Lombard,117.91,79.31,32.7,Renter,False,2,14,2026-08-15 12:14:15.483932,7,97.9
EXP317144,India,B1,CA,Allianz,131.27,96.69,26.3,Health,True,1,13,2026-08-09 12:14:15.483947,8,97.8
EXP583998,India,L1,GA,AIG,77.59,51.03,34.2,Auto+Health,True,3,8,2026-08-20 12:14:15.483961,8,97.2
EXP432367,India,B1,CA,AIG,95.94,67.12,30.0,Health,True,3,10,2026-08-10 12:14:15.483976,9,97.9
EXP391811,India,E2,TX,HDFC ERGO,84.25,66.7,20.8,Auto+Health,True,3,13,2026-08-09 12:14:15.483990,7,98.1
EXP300405,India,H1B,WA,ICICI Lombard,99.24,70.97,28.5,Auto+Health,True,2,14,2026-05-26 12:14:15.484005,9,98.5
