expat_id,previous_company,plan_end_date,reason_left_previous,reason_chose_ratha,had_ratha_before,premium_savings_percent,onboarding_speed_advantage_days,india_coverage_interest,acquisition_cost_estimated,lifetime_value_projected
EXP452327,CHUBB,2026-08-21 18:34:22.946614,No India coverage,Comprehensive expat coverage,False,24.0,10,True,149.13,2472.71
EXP129909,CHUBB,2026-07-08 18:34:22.946623,Poor customer service,Faster onboarding,False,20.0,7,False,122.36,3924.64
EXP754150,AIG,2026-07-26 18:34:22.946633,No India coverage,India-USA coordination,False,31.8,8,True,153.51,4970.28
EXP254452,HDFC ERGO,2026-08-13 18:34:22.946643,No India coverage,Faster onboarding,False,24.1,9,True,121.16,2478.39
EXP685764,CHUBB,2026-07-03 18:34:22.946653,High premium,Better affordability,False,21.3,9,True,57.88,2083.34
EXP397973,CHUBB,2026-07-02 18:34:22.946662,High premium,Better affordability,False,23.2,9,True,142.77,3737.21
EXP914765,HDFC ERGO,2026-08-07 18:34:22.946672,High premium,Simpler process,False,17.4,8,False,166.18,3113.39
EXP962495,Allianz,2026-08-01 18:34:22.946682,Limited coverage options,Simpler process,False,20.8,5,True,108.04,2450.54
EXP545620,CHUBB,2026-08-07 18:34:22.946691,Limited coverage options,Simpler process,False,34.2,6,False,181.44,2092.46
EXP509390,HDFC ERGO,2026-07-23 18:34:22.946701,Complex onboarding,Simpler process,False,19.0,6,True,192.97,2267.22
EXP134279,CHUBB,2026-07-12 18:34:22.946711,Complex onboarding,India-USA coordination,False,23.1,4,False,125.43,2127.88
EXP145454,HDFC ERGO,2026-07-14 18:34:22.946720,No India coverage,Simpler process,False,29.3,4,False,136.74,3357.51
EXP421183,CHUBB,2026-07-18 18:34:22.946730,No India coverage,Better affordability,False,33.6,10,False,119.75,1699.42
EXP540144,Allianz,2026-07-16 18:34:22.946740,Slow claims processing,Better customer support,False,28.4,10,False,152.13,3506.87
EXP851954,HDFC ERGO,2026-08-05 18:34:22.946750,High premium,Comprehensive expat coverage,False,23.8,6,True,123.6,3145.83
EXP689369,ICICI Lombard,2026-08-07 18:34:22.946759,High premium,Comprehensive expat coverage,False,28.1,10,True,69.17,2459.3
EXP495804,HDFC ERGO,2026-08-07 18:34:22.946769,No India coverage,Better affordability,False,18.0,4,True,74.71,1770.65
EXP880741,AIG,2026-08-02 18:34:22.946779,High premium,India-USA coordination,False,21.4,9,True,112.3,3283.21
EXP599665,ICICI Lombard,2026-07-23 18:34:22.946789,Slow claims processing,Better affordability,False,33.2,5,False,178.02,4177.61
EXP200772,Allianz,2026-07-19 18:34:22.946798,Complex onboarding,Simpler process,False,31.7,9,True,98.51,4518.22
EXP113409,IMG Global,2026-08-20 18:34:22.946808,High premium,Better affordability,False,29.0,4,False,143.0,2278.38
EXP388545,CHUBB,2026-07-02 18:34:22.946817,High premium,Simpler process,False,24.9,8,True,136.17,3007.34
EXP644652,CHUBB,2026-07-09 18:34:22.946827,Complex onboarding,Faster onboarding,False,21.9,5,True,154.6,2930.87
EXP989871,HDFC ERGO,2026-08-14 18:34:22.946836,Limited coverage options,Better affordability,False,31.1,7,False,106.44,3909.25
EXP843310,Allianz,2026-08-10 18:34:22.946846,No India coverage,India-USA coordination,False,24.4,8,False,141.51,3844.06
EXP942495,CHUBB,2026-08-23 18:34:22.946855,Complex onboarding,Comprehensive expat coverage,False,18.0,10,False,53.4,2155.36
EXP604464,IMG Global,2026-07-03 18:34:22.946865,Limited coverage options,India-USA coordination,False,16.5,6,False,142.07,4733.21
EXP475452,IMG Global,2026-07-05 18:34:22.946875,Poor customer service,Comprehensive expat coverage,False,32.4,6,True,69.27,1587.12
EXP776397,Allianz,2026-08-16 18:34:22.946885,High premium,Better customer support,False,25.0,6,True,88.89,3948.74
EXP761650,Allianz,2026-06-27 18:34:22.946895,High premium,Better customer support,False,29.4,4,True,75.53,3770.5
EXP464220,CHUBB,2026-06-24 18:34:22.946905,Poor customer service,India-USA coordination,False,34.8,6,True,120.59,4802.23
EXP536393,IMG Global,2026-07-09 18:34:22.946914,Slow claims processing,Comprehensive expat coverage,False,17.9,4,False,187.75,1754.93
EXP411999,CHUBB,2026-07-26 18:34:22.946924,Slow claims processing,Better affordability,False,15.8,8,True,102.56,4474.95
EXP453054,ICICI Lombard,2026-08-20 18:34:22.946933,No India coverage,Simpler process,False,21.6,10,True,157.7,1899.94
EXP460815,AIG,2026-07-14 18:34:22.946943,No India coverage,Better affordability,False,30.3,8,True,155.52,2894.64
EXP331130,ICICI Lombard,2026-07-24 18:34:22.946953,No India coverage,India-USA coordination,False,28.4,6,True,169.78,2529.09
EXP786420,AIG,2026-06-24 18:34:22.946963,Poor customer service,Simpler process,False,21.2,6,True,104.41,2548.02
EXP319676,ICICI Lombard,2026-07-25 18:34:22.946972,Poor customer service,Better affordability,False,21.5,6,False,119.0,3196.57
EXP406265,AIG,2026-08-22 18:34:22.946983,Limited coverage options,India-USA coordination,False,19.5,9,True,87.04,2940.12
EXP966700,AIG,2026-08-17 18:34:22.946993,Complex onboarding,Faster onboarding,False,21.5,4,True,186.52,3407.46
EXP544328,HDFC ERGO,2026-08-08 18:34:22.947003,High premium,Simpler process,False,29.6,9,True,75.66,2346.96
EXP991403,ICICI Lombard,2026-06-26 18:34:22.947012,Poor customer service,Better customer support,False,30.4,9,True,156.77,2144.34
EXP748776,ICICI Lombard,2026-08-02 18:34:22.947022,Slow claims processing,India-USA coordination,False,33.1,10,True,136.46,2486.16
EXP568461,ICICI Lombard,2026-07-24 18:34:22.947031,Limited coverage options,Better affordability,False,17.2,7,True,51.92,4823.49
EXP978458,AIG,2026-07-03 18:34:22.947041,Limited coverage options,Better customer support,False,18.6,10,True,95.31,2821.4
EXP321614,CHUBB,2026-06-29 18:34:22.947050,No India coverage,India-USA coordination,False,27.9,7,True,189.99,2792.21
EXP816205,AIG,2026-06-29 18:34:22.947060,Slow claims processing,Better customer support,False,23.6,5,True,60.15,3523.5
EXP465662,Allianz,2026-07-13 18:34:22.947069,Limited coverage options,Better affordability,False,33.0,10,True,68.96,4935.47
EXP203697,Allianz,2026-07-13 18:34:22.947079,High premium,Simpler process,False,27.4,7,True,54.24,2158.64
EXP393104,CHUBB,2026-07-10 18:34:22.947088,Poor customer service,Comprehensive expat coverage,False,30.9,8,True,173.58,3610.63
EXP598695,AIG,2026-07-28 18:34:22.947098,Complex onboarding,Better customer support,False,27.7,5,True,154.36,3039.89
EXP461703,IMG Global,2026-07-15 18:34:22.947108,Complex onboarding,Comprehensive expat coverage,False,23.1,4,False,145.5,1809.22
EXP735040,CHUBB,2026-08-16 18:34:22.947117,Slow claims processing,Better customer support,False,21.1,9,False,115.68,4414.29
EXP464749,ICICI Lombard,2026-08-04 18:34:22.947126,Complex onboarding,India-USA coordination,False,17.3,4,True,128.3,3065.43
EXP529775,Allianz,2026-08-05 18:34:22.947136,Slow claims processing,Better customer support,False,22.2,7,True,57.21,2299.03
EXP234460,AIG,2026-07-26 18:34:22.947145,Poor customer service,Comprehensive expat coverage,False,29.1,5,True,54.98,4707.08
EXP201198,CHUBB,2026-06-30 18:34:22.947155,No India coverage,Faster onboarding,False,34.9,5,True,125.49,3336.12
EXP287840,AIG,2026-08-07 18:34:22.947164,No India coverage,Comprehensive expat coverage,False,23.8,5,False,72.69,2311.07
EXP129490,IMG Global,2026-08-14 18:34:22.947173,Limited coverage options,Better affordability,False,32.8,9,False,136.38,3737.71
EXP157329,ICICI Lombard,2026-06-26 18:34:22.947183,Limited coverage options,Better affordability,False,16.8,6,True,155.87,3669.27
EXP231858,HDFC ERGO,2026-08-19 18:34:22.947192,Poor customer service,India-USA coordination,False,23.4,8,False,89.4,3836.57
EXP994163,HDFC ERGO,2026-07-02 18:34:22.947202,Slow claims processing,Better affordability,False,16.4,10,False,121.43,4808.86
EXP921019,HDFC ERGO,2026-08-13 18:34:22.947211,No India coverage,Faster onboarding,False,15.3,6,True,71.43,1640.52
EXP663606,CHUBB,2026-08-23 18:34:22.947221,No India coverage,Faster onboarding,False,19.5,5,False,177.45,1543.21
EXP959418,AIG,2026-06-30 18:34:22.947230,Slow claims processing,Better customer support,False,29.9,4,True,190.74,4087.75
EXP195544,Allianz,2026-08-17 18:34:22.947240,No India coverage,Faster onboarding,False,18.4,6,True,160.16,3530.06
EXP916649,ICICI Lombard,2026-07-14 18:34:22.947249,Poor customer service,Better customer support,False,25.2,10,False,100.11,2651.69
EXP698751,Allianz,2026-07-18 18:34:22.947259,Slow claims processing,Faster onboarding,False,34.8,4,True,185.96,2536.02
EXP419699,CHUBB,2026-07-05 18:34:22.947268,High premium,Better affordability,False,30.2,5,True,168.08,2539.3
EXP779954,ICICI Lombard,2026-07-03 18:34:22.947278,No India coverage,Comprehensive expat coverage,False,27.6,8,False,122.75,3089.73
EXP954770,ICICI Lombard,2026-06-27 18:34:22.947287,Slow claims processing,Faster onboarding,False,30.5,9,False,88.55,4075.14
EXP581788,AIG,2026-07-21 18:34:22.947296,Complex onboarding,Simpler process,False,33.7,8,True,193.68,3886.56
EXP282812,CHUBB,2026-06-24 18:34:22.947306,High premium,Better affordability,False,31.5,5,True,56.86,4981.25
EXP658810,ICICI Lombard,2026-08-04 18:34:22.947315,Complex onboarding,Comprehensive expat coverage,False,18.9,9,True,180.32,4676.38
EXP595965,IMG Global,2026-08-09 18:34:22.947325,Slow claims processing,Better customer support,False,33.9,4,True,146.11,3956.05
EXP577831,AIG,2026-07-24 18:34:22.947334,Limited coverage options,Comprehensive expat coverage,False,30.3,8,True,182.3,1675.14
EXP515799,HDFC ERGO,2026-07-30 18:34:22.947344,Slow claims processing,Comprehensive expat coverage,False,21.9,8,False,96.73,4119.95
EXP952220,IMG Global,2026-07-11 18:34:22.947353,High premium,Faster onboarding,False,16.2,7,True,170.3,4333.42
EXP908766,CHUBB,2026-07-24 18:34:22.947365,Complex onboarding,India-USA coordination,False,23.5,9,True,167.9,1977.97
EXP207102,AIG,2026-08-09 18:34:22.947376,Poor customer service,Faster onboarding,False,27.9,10,False,127.89,3255.77
EXP626874,IMG Global,2026-07-07 18:34:22.947385,Limited coverage options,Better affordability,False,29.5,5,False,125.8,2125.56
EXP164761,IMG Global,2026-08-15 18:34:22.947395,Complex onboarding,Better affordability,False,34.6,10,True,133.94,2541.88
EXP328247,ICICI Lombard,2026-08-13 18:34:22.947404,High premium,Better affordability,False,16.2,10,True,125.85,1778.93
EXP599630,AIG,2026-07-31 18:34:22.947414,Limited coverage options,Simpler process,False,25.0,9,True,104.37,3895.04
EXP210260,HDFC ERGO,2026-07-04 18:34:22.947423,Complex onboarding,Better customer support,False,20.4,7,False,111.84,2227.82
EXP870936,Allianz,2026-07-28 18:34:22.947432,Poor customer service,Better customer support,False,27.5,10,True,87.85,4005.04
EXP284766,HDFC ERGO,2026-08-23 18:34:22.947442,Complex onboarding,India-USA coordination,False,17.7,9,True,133.95,2592.76
EXP150354,HDFC ERGO,2026-07-24 18:34:22.947451,No India coverage,Faster onboarding,False,25.5,10,True,173.06,2689.5
EXP847374,HDFC ERGO,2026-07-02 18:34:22.947461,High premium,Better customer support,False,27.0,9,False,111.25,3578.53
EXP769004,CHUBB,2026-07-03 18:34:22.947470,Poor customer service,Better customer support,False,31.5,7,True,135.95,4463.79
EXP897465,Allianz,2026-08-10 18:34:22.947480,Slow claims processing,Better customer support,False,34.1,5,True,115.91,3739.05
EXP276317,CHUBB,2026-08-01 18:34:22.947489,Limited coverage options,India-USA coordination,False,32.8,6,False,50.37,2305.8
EXP683349,Allianz,2026-07-03 18:34:22.947499,Poor customer service,Simpler process,False,22.5,9,True,167.96,4266.71
EXP927717,IMG Global,2026-07-29 18:34:22.947508,Limited coverage options,India-USA coordination,False,27.2,8,False,128.05,3412.19
EXP231970,CHUBB,2026-08-16 18:34:22.947518,Limited coverage options,Better customer support,False,21.4,9,True,144.41,4243.39
EXP561380,CHUBB,2026-06-30 18:34:22.947528,Slow claims processing,Simpler process,False,23.3,10,True,169.98,4920.82
EXP370840,HDFC ERGO,2026-07-19 18:34:22.947537,No India coverage,Simpler process,False,16.4,5,True,182.12,3192.47
EXP306657,IMG Global,2026-08-23 18:34:22.947547,Complex onboarding,Faster onboarding,False,23.5,8,True,155.47,2768.15
EXP423019,Allianz,2026-07-21 18:34:22.947556,Poor customer service,Simpler process,False,33.3,5,False,102.7,2755.22
EXP854149,AIG,2026-08-17 18:34:22.947566,Poor customer service,India-USA coordination,False,16.3,9,True,136.38,3431.68
EXP624348,CHUBB,2026-08-09 18:34:22.947575,Limited coverage options,India-USA coordination,False,23.0,10,True,161.39,3342.18
EXP388084,IMG Global,2026-08-22 18:34:22.947585,High premium,Better customer support,False,20.4,7,True,187.31,2289.27
EXP344842,AIG,2026-07-17 18:34:22.947594,High premium,Simpler process,False,29.0,4,True,76.21,2292.84
EXP498519,CHUBB,2026-08-20 18:34:22.947604,High premium,India-USA coordination,False,33.9,10,False,183.64,3254.32
EXP166936,HDFC ERGO,2026-07-22 18:34:22.947613,High premium,Simpler process,False,27.7,10,True,113.76,1646.61
EXP655198,CHUBB,2026-07-23 18:34:22.947623,Complex onboarding,Faster onboarding,False,32.4,7,True,110.35,4374.57
EXP925135,HDFC ERGO,2026-08-13 18:34:22.947632,Slow claims processing,Comprehensive expat coverage,False,31.0,4,True,147.21,3080.58
EXP910527,IMG Global,2026-07-01 18:34:22.947641,Complex onboarding,India-USA coordination,False,31.0,5,True,143.19,4235.08
EXP929614,ICICI Lombard,2026-07-12 18:34:22.947651,Complex onboarding,India-USA coordination,False,19.1,9,False,164.0,3574.13
EXP713215,HDFC ERGO,2026-07-22 18:34:22.947661,Slow claims processing,Comprehensive expat coverage,False,31.7,7,True,125.52,1828.22
EXP349209,IMG Global,2026-07-01 18:34:22.947670,No India coverage,India-USA coordination,False,19.1,4,False,74.36,2058.78
EXP563520,AIG,2026-07-08 18:34:22.947679,High premium,Better affordability,False,31.8,9,False,130.72,4129.97
EXP157445,Allianz,2026-08-15 18:34:22.947689,Complex onboarding,India-USA coordination,False,28.0,5,True,181.11,2931.72
EXP632122,AIG,2026-07-20 18:34:22.947699,Complex onboarding,Better affordability,False,26.0,8,True,65.87,2269.08
EXP230602,HDFC ERGO,2026-06-28 18:34:22.947708,High premium,India-USA coordination,False,23.0,6,True,122.39,2566.24
EXP591400,Allianz,2026-07-27 18:34:22.947718,Complex onboarding,Better customer support,False,33.5,6,False,190.69,2527.98
EXP169692,Allianz,2026-07-27 18:34:22.947728,Poor customer service,Comprehensive expat coverage,False,29.3,10,True,86.08,3248.95
EXP946230,IMG Global,2026-07-26 18:34:22.947737,Complex onboarding,Faster onboarding,False,30.2,10,False,132.73,3478.03
EXP848692,Allianz,2026-07-29 18:34:22.947748,No India coverage,Faster onboarding,False,19.8,4,True,182.69,3545.22
EXP853296,ICICI Lombard,2026-07-06 18:34:22.947757,Poor customer service,Better affordability,False,25.8,8,False,50.33,3741.87
EXP459164,CHUBB,2026-07-10 18:34:22.947767,Complex onboarding,Better customer support,False,23.6,5,False,176.09,2372.77
EXP554550,ICICI Lombard,2026-07-25 18:34:22.947776,Complex onboarding,Faster onboarding,False,33.7,7,True,119.79,2677.45
EXP653838,IMG Global,2026-08-21 18:34:22.947786,Slow claims processing,Better customer support,False,34.7,10,True,161.99,1962.42
EXP229100,ICICI Lombard,2026-07-22 18:34:22.947795,Limited coverage options,India-USA coordination,False,28.7,4,True,62.95,4424.43
EXP282582,Allianz,2026-07-07 18:34:22.947805,Complex onboarding,Better customer support,False,17.8,9,True,58.9,4540.94
EXP557748,Allianz,2026-07-22 18:34:22.947814,No India coverage,Simpler process,False,26.9,7,True,137.87,1526.75
EXP705468,IMG Global,2026-08-08 18:34:22.947824,Slow claims processing,Simpler process,False,15.0,10,True,57.96,4467.47
EXP258777,IMG Global,2026-08-12 18:34:22.947833,Poor customer service,Faster onboarding,False,32.2,9,True,66.06,4077.69
EXP136953,ICICI Lombard,2026-07-29 18:34:22.947842,High premium,Faster onboarding,False,18.9,9,True,178.41,3674.66
EXP322614,CHUBB,2026-07-13 18:34:22.947852,Poor customer service,Simpler process,False,15.4,8,False,61.34,4374.64
EXP118112,CHUBB,2026-07-07 18:34:22.947862,Complex onboarding,India-USA coordination,False,23.4,9,True,83.37,3406.25
EXP225290,Allianz,2026-08-01 18:34:22.947871,Limited coverage options,Simpler process,False,26.0,8,True,189.94,2192.28
EXP180046,ICICI Lombard,2026-08-07 18:34:22.947881,No India coverage,Comprehensive expat coverage,False,18.7,9,True,199.89,4427.31
EXP762110,CHUBB,2026-08-08 18:34:22.947890,Slow claims processing,India-USA coordination,False,25.5,8,True,158.5,4959.15
EXP923262,ICICI Lombard,2026-08-16 18:34:22.947900,High premium,Comprehensive expat coverage,False,31.6,7,True,82.86,4626.29
EXP749660,IMG Global,2026-07-24 18:34:22.947910,Slow claims processing,Better customer support,False,28.1,4,True,190.38,2909.39
EXP669157,AIG,2026-07-24 18:34:22.947919,High premium,Faster onboarding,False,33.3,6,True,194.26,3534.7
EXP441803,IMG Global,2026-08-05 18:34:22.947928,Limited coverage options,Faster onboarding,False,31.0,6,True,119.0,4648.03
EXP720168,AIG,2026-07-14 18:34:22.947938,Slow claims processing,Better customer support,False,20.6,8,True,147.96,3069.95
EXP113242,CHUBB,2026-08-17 18:34:22.947947,Poor customer service,Better customer support,False,34.3,5,True,99.54,2118.68
EXP210446,AIG,2026-08-09 18:34:22.947957,Complex onboarding,Better customer support,False,25.2,4,True,116.86,3594.61
EXP647844,ICICI Lombard,2026-07-04 18:34:22.947966,Complex onboarding,Faster onboarding,False,19.6,7,True,142.87,4541.24
EXP990186,Allianz,2026-07-04 18:34:22.947975,Poor customer service,Better customer support,False,32.4,7,True,89.92,4878.19
EXP965974,ICICI Lombard,2026-07-22 18:34:22.947985,Complex onboarding,Better affordability,False,27.2,5,False,103.62,4641.25
EXP135820,AIG,2026-08-16 18:34:22.947994,High premium,Faster onboarding,False,24.7,4,True,121.83,2178.7
EXP862547,IMG Global,2026-08-17 18:34:22.948004,No India coverage,Better affordability,False,18.9,5,True,135.16,2250.13
EXP929379,ICICI Lombard,2026-07-04 18:34:22.948013,Complex onboarding,Better customer support,False,27.8,6,True,116.68,2707.39
EXP529388,CHUBB,2026-08-02 18:34:22.948023,Limited coverage options,India-USA coordination,False,31.4,6,True,82.24,1838.09
EXP481323,ICICI Lombard,2026-08-11 18:34:22.948034,Limited coverage options,Faster onboarding,False,18.9,7,False,92.85,1902.36
EXP408064,Allianz,2026-08-10 18:34:22.948044,Poor customer service,India-USA coordination,False,28.8,9,False,108.8,2097.31
EXP841345,AIG,2026-08-07 18:34:22.948053,Limited coverage options,Comprehensive expat coverage,False,28.1,7,True,138.81,2160.76
EXP612466,ICICI Lombard,2026-08-06 18:34:22.948063,Complex onboarding,Simpler process,False,17.5,8,True,73.82,2898.78
EXP594640,HDFC ERGO,2026-07-05 18:34:22.948072,Complex onboarding,Better customer support,False,32.3,8,True,187.33,3556.65
EXP143585,ICICI Lombard,2026-07-22 18:34:22.948081,No India coverage,India-USA coordination,False,33.5,7,True,195.66,4667.07
EXP691892,Allianz,2026-06-28 18:34:22.948091,No India coverage,India-USA coordination,False,25.0,4,True,177.26,4868.33
EXP923152,Allianz,2026-07-12 18:34:22.948100,Limited coverage options,Comprehensive expat coverage,False,29.4,5,True,85.53,2230.46
EXP100982,Allianz,2026-07-20 18:34:22.948109,High premium,India-USA coordination,False,32.0,5,False,164.1,3317.94
EXP128117,ICICI Lombard,2026-08-09 18:34:22.948119,Poor customer service,India-USA coordination,False,22.3,5,True,95.88,2798.21
EXP705606,Allianz,2026-07-04 18:34:22.948130,Limited coverage options,Faster onboarding,False,31.8,8,False,51.82,4949.02
EXP545826,AIG,2026-08-22 18:34:22.948140,High premium,Better customer support,False,15.8,8,False,174.15,1821.38
EXP912966,HDFC ERGO,2026-08-22 18:34:22.948149,High premium,Better customer support,False,28.8,7,False,64.25,2668.54
EXP902302,IMG Global,2026-08-23 18:34:22.948159,Slow claims processing,India-USA coordination,False,22.0,4,False,160.9,3041.46
EXP432155,Allianz,2026-07-21 18:34:22.948168,Poor customer service,Faster onboarding,False,32.9,9,True,110.03,4931.14
EXP482471,AIG,2026-07-23 18:34:22.948178,Limited coverage options,Better customer support,False,20.8,5,True,151.96,4029.33
EXP281828,CHUBB,2026-08-04 18:34:22.948187,Limited coverage options,Faster onboarding,False,31.1,4,True,185.38,2234.03
EXP471733,IMG Global,2026-08-23 18:34:22.948196,Slow claims processing,Faster onboarding,False,23.4,8,True,199.3,4971.94
EXP474785,IMG Global,2026-08-23 18:34:22.948206,Slow claims processing,Comprehensive expat coverage,False,17.3,5,False,159.08,4515.52
EXP119933,Allianz,2026-08-04 18:34:22.948215,Limited coverage options,India-USA coordination,False,30.2,6,True,63.4,3367.38
EXP143364,IMG Global,2026-08-16 18:34:22.948225,Limited coverage options,Faster onboarding,False,15.5,6,False,172.73,3586.36
EXP868782,Allianz,2026-07-01 18:34:22.948234,Complex onboarding,Better customer support,False,23.0,7,False,87.18,3186.7
EXP631910,ICICI Lombard,2026-07-17 18:34:22.948244,Slow claims processing,India-USA coordination,False,22.4,10,False,175.74,1966.83
EXP725312,CHUBB,2026-08-09 18:34:22.948253,High premium,Better customer support,False,31.6,9,True,85.9,4563.95
EXP301089,HDFC ERGO,2026-07-11 18:34:22.948263,High premium,Comprehensive expat coverage,False,26.9,7,True,107.32,1926.19
EXP536448,HDFC ERGO,2026-06-27 18:34:22.948272,High premium,India-USA coordination,False,34.6,4,True,75.75,2433.21
EXP396047,IMG Global,2026-07-09 18:34:22.948282,Limited coverage options,Simpler process,False,21.1,10,False,113.53,3489.68
EXP372884,CHUBB,2026-06-26 18:34:22.948291,High premium,Faster onboarding,False,17.7,5,True,152.85,2534.26
EXP962103,HDFC ERGO,2026-07-04 18:34:22.948300,Slow claims processing,Better customer support,False,23.9,6,True,93.53,3119.01
EXP766768,Allianz,2026-06-29 18:34:22.948310,No India coverage,Comprehensive expat coverage,False,17.4,9,True,55.34,3277.14
EXP975767,CHUBB,2026-07-15 18:34:22.948320,No India coverage,Better affordability,False,19.1,10,True,152.52,2112.87
EXP408865,Allianz,2026-07-06 18:34:22.948329,Poor customer service,India-USA coordination,False,21.5,4,True,150.16,3000.98
EXP268566,CHUBB,2026-07-18 18:34:22.948341,Slow claims processing,India-USA coordination,False,16.1,5,True,184.58,3804.63
EXP793852,ICICI Lombard,2026-07-14 18:34:22.948351,Limited coverage options,India-USA coordination,False,31.4,10,True,78.64,1674.23
EXP596789,Allianz,2026-08-15 18:34:22.948360,No India coverage,India-USA coordination,False,20.4,7,True,166.22,4836.89
EXP795296,Allianz,2026-08-13 18:34:22.948370,Poor customer service,Better customer support,False,28.2,4,False,112.34,2090.56
EXP797109,AIG,2026-07-08 18:34:22.948380,Poor customer service,Better affordability,False,24.4,10,True,112.49,2501.45
EXP172206,ICICI Lombard,2026-08-11 18:34:22.948389,Complex onboarding,Simpler process,False,28.1,8,True,65.09,4717.81
EXP925249,Allianz,2026-07-05 18:34:22.948399,No India coverage,India-USA coordination,False,19.8,7,True,55.06,3250.55
EXP576094,CHUBB,2026-08-14 18:34:22.948408,Complex onboarding,Better affordability,False,24.1,6,True,182.25,1674.7
EXP863272,ICICI Lombard,2026-08-23 18:34:22.948418,Limited coverage options,Simpler process,False,32.5,4,True,146.96,3873.47
EXP604260,ICICI Lombard,2026-07-05 18:34:22.948427,Limited coverage options,Better customer support,False,32.1,7,True,190.67,2519.78
EXP599106,CHUBB,2026-07-12 18:34:22.948436,No India coverage,Faster onboarding,False,17.4,7,True,192.09,3191.1
EXP386383,HDFC ERGO,2026-07-12 18:34:22.948446,Complex onboarding,Comprehensive expat coverage,False,26.0,10,False,116.87,2508.91
EXP542815,IMG Global,2026-07-30 18:34:22.948455,No India coverage,Faster onboarding,False,25.2,9,True,169.93,2284.42
EXP291666,AIG,2026-08-03 18:34:22.948465,No India coverage,Faster onboarding,False,23.6,4,True,63.75,2808.57
EXP819761,Allianz,2026-07-07 18:34:22.948474,Poor customer service,India-USA coordination,False,30.2,7,True,127.33,4750.87
EXP740810,IMG Global,2026-07-20 18:34:22.948484,Complex onboarding,Simpler process,False,19.0,8,True,55.49,1570.0
EXP587536,AIG,2026-08-07 18:34:22.948494,Limited coverage options,India-USA coordination,False,31.2,7,True,68.16,3556.01
EXP105515,CHUBB,2026-07-14 18:34:22.948503,Poor customer service,Faster onboarding,False,23.5,5,False,166.52,4434.49
EXP753225,AIG,2026-08-03 18:34:22.948514,High premium,Better customer support,False,25.9,6,False,184.3,4025.58
EXP581471,ICICI Lombard,2026-07-12 18:34:22.948524,Limited coverage options,Comprehensive expat coverage,False,20.6,6,True,120.27,2296.33
EXP246886,HDFC ERGO,2026-08-03 18:34:22.948533,Complex onboarding,Comprehensive expat coverage,False,17.9,8,True,164.5,4283.5
EXP484291,ICICI Lombard,2026-06-29 18:34:22.948543,Limited coverage options,Better affordability,False,18.5,4,True,142.95,2766.93
EXP805685,CHUBB,2026-07-10 18:34:22.948552,Limited coverage options,Simpler process,False,20.5,10,True,142.8,3000.92
EXP644308,AIG,2026-08-23 18:34:22.948562,High premium,Better customer support,False,34.9,8,True,102.51,4195.32
EXP961851,HDFC ERGO,2026-07-16 18:34:22.948571,Poor customer service,Better customer support,False,31.0,8,True,64.94,3673.99
EXP196639,HDFC ERGO,2026-08-04 18:34:22.948581,No India coverage,Better affordability,False,21.9,8,True,80.97,4238.74
EXP427673,Allianz,2026-07-27 18:34:22.948590,Limited coverage options,India-USA coordination,False,27.3,10,False,103.75,4751.17
EXP738330,AIG,2026-07-09 18:34:22.948600,Limited coverage options,Comprehensive expat coverage,False,29.2,5,True,105.24,2330.73
EXP606548,CHUBB,2026-08-22 18:34:22.948610,No India coverage,Simpler process,False,23.5,6,False,164.61,3348.79
